index;label;degree_in;degree_out;degree_total;weight;compound_type;domain
2922;gbbtn[p];2;0;2;146.1175552;metabolite;all
3140;gbbtn[e];0;1;1;146.1175552;metabolite;all
1945;3hhexACP;1;1;2;147.0479756;metabolite;all
475;glu-L;34;17;51;147.0531578;metabolite;all
2419;acser;1;2;3;147.0531578;metabolite;all
2646;glu-D;0;2;2;147.0531578;metabolite;all
2788;acser[e];0;1;1;147.0531578;metabolite;all
2789;acser[p];2;0;2;147.0531578;metabolite;all
3160;glu-L[p];1;4;5;147.0531578;metabolite;all
3161;glu-L[e];0;1;1;147.0531578;metabolite;all
2222;2kmb;2;1;3;148.0194151;metabolite;all
2124;cinnm;0;1;1;148.0524295;metabolite;all
2283;pant-R;1;1;2;148.0735589;metabolite;all
3466;23dhmp;1;1;2;148.0735589;metabolite;all
2223;met-L;9;4;13;149.0510496;metabolite;all
3309;met-L[p];1;1;2;149.0510496;metabolite;all
3310;met-D[p];1;1;2;149.0510496;metabolite;all
3311;met-D;1;0;1;149.0510496;metabolite;all
3312;met-D[e];0;1;1;149.0510496;metabolite;all
3319;met-L[e];0;1;1;149.0510496;metabolite;all
2210;tartr-L;1;1;2;150.0164379;metabolite;all
3476;tartr-L[p];1;1;2;150.0164379;metabolite;all
3477;tartr-L[e];0;1;1;150.0164379;metabolite;all
2046;rib-D;8;1;9;150.0528234;metabolite;all
2061;arab-L;2;2;4;150.0528234;metabolite;all
2062;rbl-L;1;1;2;150.0528234;metabolite;all
2118;xylu-D;1;1;2;150.0528234;metabolite;all
2120;xylu-L;2;1;3;150.0528234;metabolite;all
2189;lyx-L;1;1;2;150.0528234;metabolite;all
2212;xyl-D;2;1;3;150.0528234;metabolite;all
2837;arab-L[p];2;2;4;150.0528234;metabolite;all
2838;arab-L[e];0;1;1;150.0528234;metabolite;all
3275;lyx-L[p];1;1;2;150.0528234;metabolite;all
3276;lyx-L[e];0;1;1;150.0528234;metabolite;all
3446;rib-D[p];1;1;2;150.0528234;metabolite;all
3447;rib-D[e];0;1;1;150.0528234;metabolite;all
3553;xyl-D[p];1;2;3;150.0528234;metabolite;all
3554;xyl-D[e];0;1;1;150.0528234;metabolite;all
3555;xylu-L[p];1;1;2;150.0528234;metabolite;all
3556;xylu-L[e];0;1;1;150.0528234;metabolite;all
2173;pppn;1;1;2;150.0680796;metabolite;all
3425;pppn[p];1;1;2;150.0680796;metabolite;all
3426;pppn[e];0;1;1;150.0680796;metabolite;all
2653;gua;4;2;6;151.0494098;metabolite;all
3202;gua[p];1;2;3;151.0494098;metabolite;all
3203;gua[e];0;1;1;151.0494098;metabolite;all
2662;xan;6;2;8;152.0334254;metabolite;all
3547;xan[p];1;2;3;152.0334254;metabolite;all
3548;xan[e];0;1;1;152.0334254;metabolite;all
2741;34dhpac[e];0;1;1;152.0473441;metabolite;all
2742;34dhpac[p];1;0;1;152.0473441;metabolite;all
3266;34dhpac;1;0;1;152.0473441;metabolite;all
2417;3sala;0;1;1;153.0095787;metabolite;all
2997;dopa[e];0;1;1;153.0789786;metabolite;all
2998;dopa[p];1;0;1;153.0789786;metabolite;all
3265;dopa;0;1;1;153.0789786;metabolite;all
2047;ppap;1;1;2;154.00311;metabolite;all
2277;23dhb;2;1;3;154.0266087;metabolite;all
2565;his-L;3;1;4;155.0694765;metabolite;all
3225;his-L[p];1;2;3;155.0694765;metabolite;all
3226;his-L[e];0;1;1;155.0694765;metabolite;all
2014;2pglyc;0;1;1;155.9823745;metabolite;all
2831;orot;4;0;4;156.0171066;metabolite;all
3379;orot[p];1;1;2;156.0171066;metabolite;all
3380;orot[e];0;1;1;156.0171066;metabolite;all
2276;23ddhb;1;1;2;156.0422587;metabolite;all
2111;toct2eACP;1;2;3;157.068711;metabolite;all
2830;dhor-S;0;3;3;158.0327567;metabolite;all
2609;alltn;2;1;3;158.0439901;metabolite;all
2827;alltn[p];1;1;2;158.0439901;metabolite;all
2828;alltn[e];0;1;1;158.0439901;metabolite;all
3486;2ippm;1;1;2;158.0579088;metabolite;all
2586;alaala;6;2;8;160.0847922;metabolite;all
2819;alaala[p];1;1;2;160.0847922;metabolite;all
2820;alaala[e];0;1;1;160.0847922;metabolite;all
2687;crn;4;3;7;161.1051933;metabolite;all
2689;crn-D;2;2;4;161.1051933;metabolite;all
2918;crn[p];1;4;5;161.1051933;metabolite;all
2920;crn-D[p];1;2;3;161.1051933;metabolite;all
2923;crn[e];0;1;1;161.1051933;metabolite;all
2953;selnp;1;1;2;161.8985019;metabolite;all
3340;mobd[p];1;1;2;163.9007167;metabolite;all
3341;mobd;1;0;1;163.9007167;metabolite;all
3342;mobd[e];0;1;1;163.9007167;metabolite;all
2018;3hcinnm;1;1;2;164.0473441;metabolite;all
2979;phpyr;2;0;2;164.0473441;metabolite;all
3213;3hcinnm[p];1;1;2;164.0473441;metabolite;all
3214;3hcinnm[e];0;1;1;164.0473441;metabolite;all
2071;fcl-L;1;1;2;164.0684735;metabolite;all
2114;rml;1;1;2;164.0684735;metabolite;all
2207;rmn;1;1;2;164.0684735;metabolite;all
3448;rmn[e];0;1;1;164.0684735;metabolite;all
3449;rmn[p];1;1;2;164.0684735;metabolite;all
2576;mmet;1;1;2;164.0739761;metabolite;all
3331;mmet[p];1;1;2;164.0739761;metabolite;all
3332;mmet[e];0;1;1;164.0739761;metabolite;all
2574;metsox-R-L;2;1;3;165.0459642;metabolite;all
2575;metsox-S-L;2;1;3;165.0459642;metabolite;all
3315;metsox-S-L[p];1;1;2;165.0459642;metabolite;all
3316;metsox-S-L[e];0;1;1;165.0459642;metabolite;all
3317;metsox-R-L[p];1;1;2;165.0459642;metabolite;all
3318;metsox-R-L[e];0;1;1;165.0459642;metabolite;all
2935;phe-L;1;2;3;165.0789786;metabolite;all
3416;phe-L[p];1;1;2;165.0789786;metabolite;all
